codigo_da_mantenedora,name,cnpj,nome_da_mantenedora,natureza_juridica_da_mantenedora,codigo_da_ies,sigla_da_ies,categoria_administrativa_da_ies,organizacao_academica_da_ies,sistema_de_ensino_da_ies,ies_comunitaria_sn,ies_confessional_sn,ies_filantropica_sn,logradouro,cep,codigo_do_municipio_ibge,municipio,uf,telefone,fax,e_mail,site,representante_legal,conceito_institucional_ci,ano_do_ci,indice_geral_de_cursos_igc,ano_do_igc,ato_de_credenciamento,data_do_ato_de_credenciamento,ato_de_recredenciamento,data_do_ato_de_recredenciamento
323,ABEU - CENTRO UNIVERSITÁRIO,30.831.606/0001-30,ASSOCIACAO BRASILEIRA DE ENSINO UNIVERSITARIO ABEU,Privada sem fins lucrativos,2565,UNIABEU,PRIVADA SEM FINS LUCRATIVOS,CENTRO UNIVERSITÁRIO,F,N,N,,"RUA ITAIARA, 301, CENTRO",26113400,3300456,BELFORD ROXO,RJ,(21) 2104-0460,(21) 2104-0461,pesquisador@abeu.edu.br,www.uniabeu.edu.br,PAULO ROBERTO DE MENEZES CHAVES,4,2015,3,2018,1.485,16/5/2002,729 de 20/07/2016,21/7/2016
17403,ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO,27.476.373/0001-90,ESPIRITO SANTO SECRETARIA DE EST DE SEGURANCA PUBLICA,Pessoa Jurídica de Direito Público - Estadual,24465,APM/ES,PÚBLICA ESTADUAL,FACULDADE,E,N,N,,,,,,,,,,,MOACIR LEONARDO VIEIRA BARRETO,,,,,CEE-ES 4633/2016,10/11/2016,,
15797,ACADEMIA JUDICIAL DO TRIBUNAL DE JUSTIÇA DE SANTA CATARINA,83.845.701/0001-59,SANTA CATARINA TRIBUNAL DE JUSTICA,Pessoa Jurídica de Direito Público - Estadual,17969,AJ,PÚBLICA ESTADUAL,ESCOLA DE GOVERNO,E,N,N,,"RUA ALMIRANTE LAMEGO, 1386, CENTRO",88015601,4205407,FLORIANÓPOLIS,SC,48-32872800,48-32872800,academia@tjsc.jus.br,http://acadjud.tjsc.jus.br,ADALTO BARROS DOS SANTOS,5,2015,,,,,,
16500,ACADEMIA MILITAR DAS AGULHAS NEGRAS,00.394.452/0270-52,COMANDO DO EXERCITO,Pessoa Jurídica de Direito Público - Federal,21095,AMAN,PÚBLICA FEDERAL,CENTRO UNIVERSITÁRIO,M,N,N,,"AC ACADEMIA MILITAR DE AGULHAS NEGRAS, 306, INDEPENDÊNCIA",27534970,3304201,RESENDE,RJ,2433884500,2433884576,rp@aman.ensino.eb.br,http://www.aman.ensino.eb.br/,JOAO DE AZEVEDO,,,,,613,14/12/2000,,
15748,ACADEMIA NACIONAL DE POLÍCIA - ANP,00.394.494/0014-50,MINISTERIO DA JUSTICA,Pessoa Jurídica de Direito Público - Federal,17613,ANP,PÚBLICA FEDERAL,ESCOLA DE GOVERNO,F,N,N,,"ACADEMIA NACIONAL DE POLÍCIA FEDERAL, RODOVIA DF 001 KM 2, SETOR HABITACIONAL TAQUARI (LAGO NORTE)",71559900,5300108,BRASÍLIA,DF,61 2024-8800,61 2024-8801,gab.anp@dpf.gov.br,www.dpf.gov.br/anp/,EMERSON SILVA BARBOSA,4,2015,,,,,,
1707,AJES - FACULDADE DO VALE DO JURUENA,05.053.243/0001-01,ASSOCIACAO JUINENSE DE ENSINO SUPERIOR DO VALE DO JURUENA-AJES,Privada sem fins lucrativos,2629,AJES,PRIVADA SEM FINS LUCRATIVOS,FACULDADE,F,N,N,,"AVENIDA GABRIEL MÜLLER, S/N, AJES, MÓDULO I",78320000,5105150,JUÍNA,MT,(66) 3566-1875,(66) 3566-1875,clodis@ajes.edu.br;gtomasini@ajes.edu.br;contato@pomini.org,http://www.ajes.edu.br,CLODIS ANTONIO MENEGAZ,3,2010,4,2018,1.227,15/4/2005,1144 de 12/09/2012,13/9/2012
2371,ALFA - FACULDADE DE ALMENARA,05.598.350/0001-15,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,Privada com fins lucrativos,3756,,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA VEREADOR VIRGÍLIO MENDES LIMA, 847, SÃO PEDRO",39900000,3101706,ALMENARA,MG,(33) 3721 1098,(33) 3721 1098,patriciahalves@yahoo.com.br,www.faculdadealfa.com.br,NEUZA MARIA JOSE SOARES,4,2020,2,2018,375,26/4/2007,740 de 20/07/2016,21/7/2016
2371,ALFA - FACULDADE DE ARAÇUAI,05.598.350/0001-15,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,Privada com fins lucrativos,18520,ALFA-Araçuai,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA DOM SERAFIM, 435, CENTRO",39600000,3103405,ARAÇUAÍ,MG,(31) 36577275,,kellyteles@yahoo.com.br,,NEUZA MARIA JOSE SOARES,3,2015,,,194 de 03/02/2017,6/2/2017,,
2371,ALFA - FACULDADE DE GUANHÃES,05.598.350/0001-15,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,Privada com fins lucrativos,18692,ALFA - Gunhães,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA WANTUIL CALDEIRA, 544, EXPANSÃO",39740000,3128006,GUANHÃES,MG,(31) 3657-7275,,patriciahalves@yahoo.com.br,,NEUZA MARIA JOSE SOARES,3,2015,,,912 de 17/08/2016,18/8/2016,,
16218,ATOPP BRASIL FACULDADE DE NEGÓCIOS,19.853.648/0001-39,ATOPP BRASIL EDUCACIONAL S.A.,Privada com fins lucrativos,19853,ATOPP BRASIL,PRIVADA COM FINS LUCRATIVOS,FACULDADE,F,N,N,,"RUA FORTALEZA, 91, JARDIM AGARI",86020240,4113700,LONDRINA,PR,(43) 3029-6989,43 3029-6989,coordenacao.faculdade@atopp.com.br,https://atoppbrasil.edu.br/,JAIR GRAVENA,3,2016,,,867 de 20/07/2017,21/7/2017,,
